"","Name","Price","Opinions","Product_Weight","Volume","Power","Height","Width","Depth"
"72","Kärcher DS 6 - Aspiradora con filtro de agua (lavadora a presión), 650 W, depósito de agua filtrada 2 l, filtro HEPA (1.195-220.0)",253.82,26,9.5,2,650,28.9,44,55
"73","Bosch BCH6ATH25K Athlet - Aspirador escoba + Kit de accesorios. 25.2 V, sin bolsa, autonomía hasta 60 minutos, depósito 0.9 l, color blanco",229.99,342,3,0.9,2400,24,14,61
"74","Dibea Aspiradora escoba sin Cable Aspiradoras de mano verticales 2 en 1, 9000pa Aspiración 2 Velocidades, 45 Min. Batería de ión-litio Recargable, Multiple Funciones Alfombra Suelo duro Coche, D18-Oro",139,119,2.2,2.79065040650406,120,104,21,23
"75","Roidmi F8 Storm - Aspiradora sin cable con App, versión EU en Español, 415W, 100.000 RPM, batería hasta 55 mins., depósito 0.4L, color blanco",299,168,2.5,0.4,415,1.178,24,17
"76","oneday Aspirador sin Cable Aspirador de Mano sin Cable Recargable de Doble Ciclo de Succión Aspiradoras Verticales Multifuncional 9 Accesorios para La Limpieza del Hogar/Coche",93.9065454545455,26,2.27,1,535.027210884354,41.7927401574803,31.3622047244094,34.1574803149606
"77","Rowenta Aspirador Escoba sin Cable Air Force 460 RH9252WO Aspirador Escoba, Batería Larga Duración Ion-litio 21,9 V 30 min de Autonomía, Pack 8 Boquillas y Pack Accesorios Especiales muy Versátiles",239,76,3.6,0.4,535.027210884354,75.5,10,47
"78","Aspiradora de Mano, Hikeren Aspirador Mano Sin Cable Potente, 5000PA, Aspiradoras en Seco y Húmedo, Batería de 2400mAh, Filtro de Acero Inoxidable, Accesorio Completo para Hogar y Coche",39.98,267,0.939,0.3,100,41.7927401574803,31.3622047244094,34.1574803149606
"79","Cecotec CONGA INMORTAL EXTREME 37 V H2O PLUS",112.43,138,4.28,0.8,535.027210884354,41.7927401574803,31.3622047244094,34.1574803149606
"80","Bissell 2228N SmartClean Pet Aspirador Trineo, sin Bolsa, reconocimiento autómatico del Tipo Suelo, Perfecto para pelos de Mascotas, 770W, 770 W, 80 Decibelios, Otro",329.99,25,9.8,2.79065040650406,770,41.3,39,58
"81","Hoover Sprint EVO SE61 Aspirador trineo sin bolsa con filtro EPA, ideal parquet y mascotas, 700W, nivel de ruido 80dBA, color azul",87,369,4.1,1.5,700,26.5,30,44
"82","MLITER Aspirador Escoba con Cable 2 en 1, Aspiradora Gran Succión 14KPa, Aspirador de Mano 12 Accesorios, Aspiradora Hogar Ligera Pelo Mascota, Depósito 800ml, Azul y Blanco",42.99,66,2.38,0.8,400,23.8,17,4
"83","Taurus Pulsar Turbo-948 800 Aspirador de Trineo sin bolsa con filtraje multiciclónico, Energy Eco System, Turbocyclone Sytem, 2 litros, Filtro HEPA, 800 W, 78 decibeles, Decibelios",67.32,259,5.5,2,800,43,42,41
"84","SONRU Aspiradora de Mano Sin Cable, 120W Potente Aspirador de Coche Portátil con 6000Pa, 2500mAh Carga Rapida Batería Recargable Aspirador de Seco y Húmedo para Casa, Coche, Oficina",35.99,58,3.67131666666667,2.79065040650406,535.027210884354,41.7927401574803,31.3622047244094,34.1574803149606
"85","Karcher SE 4002 - Lava-aspiradora con cable, 1400 W y 4+4 litros de depósito de agua limpia / sucia",221.82,436,8,4,1400,44.1,47,50
"86","2pcs Kit de Recambios de Filtro HEPA para Rowenta/Tefal/Moulinex Compact Power Cyclonic Aspiradoras",19.99,18,0.322,2.79065040650406,535.027210884354,41.7927401574803,31.3622047244094,34.1574803149606
"87","Cecotec  Aspirador Escoba Vertical y de Mano Conga Rockstar 300 X-Treme. Motor Digital Brushless, Aspirador 3 en 1, 24 KPA, Hasta 65 min de Autonomía, Máxima Eficiencia, Tecnología Ciclónica, 430W",93.9065454545455,38,4.12,2.79065040650406,430,41.7927401574803,31.3622047244094,34.1574803149606
"88","Aspiradora de Coche, VOONEEN 7KPa Aspiradora para Automóvil Portátil de Gran Alcance, Aspiradora Inalámbrica Seca y Húmeda Recargable Succión Fuerte para el Hogar / Automóvil",93.9065454545455,32,1.08,2.79065040650406,120,41.7927401574803,31.3622047244094,34.1574803149606
"89","Aspiradora de Mano sin Cable, Aspirador de Coche, 6000PA con Fuerte Succión, Aspira en Húmedo y en Seco, 2 filtros lavables + 2 adaptadores de carga",93.9065454545455,171,0.572,2.79065040650406,120,41.7927401574803,31.3622047244094,34.1574803149606
